region_name,school_count,student_count,male_students,female_students,class_count,teacher_count,avg_students_per_school,avg_students_per_class,students_per_teacher,population,academy_count,academy_capacity,pension_avg_income,academy_per_1000_students,schools_per_100k_population,high_school_students_per_1000_population,male_share,female_share,source_scope
강원특별자치도 강릉시,11,4926.0,2547.0,2379.0,216.0,464,447.8181818181818,22.805555555555557,10.616379310344827,205895,599,23447,1416342,121.59967519285424,5.34252895893538,23.924816047014254,0.5170523751522533,0.48294762484774667,2025 high schools only for school-level metrics
강원특별자치도 고성군,4,403.0,228.0,175.0,27.0,66,100.75,14.925925925925926,6.106060606060606,26942,17,695,1463262,42.183622828784124,14.846707742558086,14.958058050627272,0.56575682382134,0.43424317617866004,2025 high schools only for school-level metrics
강원특별자치도 동해시,6,2331.0,1156.0,1175.0,105.0,218,388.5,22.2,10.692660550458715,86062,176,6954,1402075,75.5040755040755,6.971718063721504,27.08512467755804,0.49592449592449594,0.504075504075504,2025 high schools only for school-level metrics
강원특별자치도 삼척시,8,1299.0,721.0,578.0,69.0,157,162.375,18.82608695652174,8.273885350318471,60135,85,3823,1381726,65.43494996150885,13.303400681799284,21.601396857071588,0.5550423402617398,0.4449576597382602,2025 high schools only for school-level metrics
강원특별자치도 속초시,3,1849.0,970.0,879.0,77.0,158,616.3333333333334,24.01298701298701,11.70253164556962,79252,163,10008936,1511789,88.1557598702001,3.7853934285570086,23.33064149800636,0.5246078961600865,0.4753921038399135,2025 high schools only for school-level metrics
강원특별자치도 양구군,3,653.0,327.0,326.0,34.0,81,217.66666666666666,19.205882352941178,8.061728395061728,20382,27,1056,1335820,41.34762633996937,14.718869590815427,32.03807280934157,0.5007656967840735,0.4992343032159265,2025 high schools only for school-level metrics
강원특별자치도 양양군,1,437.0,244.0,193.0,19.0,41,437.0,23.0,10.658536585365853,27390,32,1457,1457673,73.22654462242564,3.6509675063891933,15.954728002920772,0.5583524027459954,0.4416475972540046,2025 high schools only for school-level metrics
강원특별자치도 영월군,6,777.0,482.0,295.0,51.0,118,129.5,15.235294117647058,6.584745762711864,35917,48,1467,1407623,61.77606177606178,16.70518139042793,21.63320990060417,0.6203346203346203,0.37966537966537967,2025 high schools only for school-level metrics
강원특별자치도 원주시,16,9783.0,5128.0,4655.0,378.0,783,611.4375,25.88095238095238,12.494252873563218,363669,1000,48905,1397671,102.21813349688234,4.399605135439095,26.900835650000413,0.5241745885720127,0.47582541142798734,2025 high schools only for school-level metrics
강원특별자치도 인제군,4,455.0,251.0,204.0,29.0,63,113.75,15.689655172413794,7.222222222222222,30742,38,727,1496949,83.51648351648352,13.011515190943985,14.800598529698783,0.5516483516483517,0.44835164835164837,2025 high schools only for school-level metrics
